caldt,vwretd,vwretx,ewretd,ewretx,totval,spindx,sprtrn
19261230,-0.004444,-0.005215,-0.003022,-0.003693,17204713.40,,
19261231,0.003358,0.002743,0.004156,0.003077,17028798.80,,
19270103,-0.008618,-0.008672,-0.008072,-0.008256,16881124.80,,
19270104,0.003065,0.003065,0.003888,0.003888,16990761.60,,
19270105,0.000353,0.000353,0.002796,0.002796,16996763.20,,
19270106,-0.002886,-0.002886,-0.002850,-0.002850,16878749.00,,
19270107,0.004159,0.003909,0.004236,0.004030,16944727.80,,
19270108,0.002361,0.002361,0.002763,0.002763,16984726.70,,
19270110,0.001839,0.001581,0.001127,0.000496,17079292.60,,
19270111,-0.002884,-0.002884,-0.001630,-0.001630,17030041.20,,
19270112,0.001962,0.001962,-0.001351,-0.001351,17063461.60,,
19270113,-0.000270,-0.000352,-0.001470,-0.001591,17057453.90,,
19270114,0.000657,-0.000340,-0.000036,-0.001207,17051653.60,,
19270115,0.001562,0.001562,0.001140,0.001140,17078294.80,,
19270117,-0.000974,-0.000974,0.000274,0.000274,17061661.40,,
19270118,-0.000542,-0.000542,-0.001152,-0.001152,16780680.80,,
19270119,0.006041,0.006041,0.006351,0.006351,17155805.20,,
19270120,-0.000893,-0.001163,-0.000837,-0.001172,17159940.30,,
19270121,-0.001481,-0.001588,-0.001432,-0.001577,17132684.70,,
19270122,-0.003790,-0.003790,-0.003728,-0.003728,17067758.60,,
19270124,-0.005008,-0.005031,-0.003531,-0.003726,16681347.80,,
19270125,-0.011375,-0.011375,-0.010928,-0.010928,16779743.40,,
19270126,0.001747,0.001747,0.001180,0.001180,16814568.60,,
19270127,-0.003850,-0.003850,-0.004653,-0.004653,16749833.90,,
19270128,0.001863,0.001516,0.002470,0.002292,16775233.60,,
19270129,0.008495,0.008495,0.007639,0.007639,16917734.20,,
19270131,0.006255,0.005969,0.004897,0.004374,17018724.40,,
19270201,-0.001505,-0.002020,-0.001125,-0.001304,16927642.90,,
19270202,0.009638,0.009638,0.007829,0.007829,17090786.00,,
19270203,0.001654,0.001654,0.000984,0.000984,17119051.10,,
19270204,0.002386,0.002386,-0.000138,-0.000138,16998792.00,,
19270205,-0.002766,-0.002766,-0.002185,-0.002185,17167965.90,,
19270207,-0.001030,-0.001424,0.000089,-0.000223,17143520.50,,
19270208,0.000072,0.000072,0.000526,0.000526,17086910.60,,
19270209,0.000556,0.000556,0.001555,0.001555,17148819.60,,
19270210,0.001447,0.000940,0.002519,0.002047,17112489.10,,
19270211,0.004792,0.004792,0.004288,0.004288,17194500.50,,
19270214,0.004225,0.004225,0.002652,0.002652,17324556.60,,
19270215,0.001063,0.000416,0.001603,0.001123,17331755.80,,
19270216,0.000026,0.000026,0.000619,0.000619,17332213.20,,
19270217,0.004635,0.004635,0.003843,0.003843,17354226.00,,
19270218,0.003452,0.002385,0.002431,0.002122,17405585.00,,
19270219,0.000421,0.000421,0.001565,0.001565,17412910.10,,
19270221,-0.002045,-0.002045,-0.000694,-0.000694,17437761.00,,
19270223,0.008068,0.008068,0.008975,0.008975,17578447.50,,
19270224,0.000424,0.000424,-0.000738,-0.000738,17585892.00,,
19270225,0.002429,0.001596,0.002776,0.002504,17671162.60,,
19270226,0.000453,0.000453,0.001062,0.001062,17619103.10,,
19270228,0.006420,0.005524,0.004747,0.004297,17776303.50,,
19270301,-0.002925,-0.003635,-0.003597,-0.004097,17711682.80,,
19270302,-0.013155,-0.013155,-0.013564,-0.013564,17478678.40,,
19270303,0.012300,0.012300,0.009431,0.009431,17693668.80,,
19270304,-0.006260,-0.007511,-0.004415,-0.005479,17560774.40,,
19270305,-0.002547,-0.002547,-0.003833,-0.003833,17516053.50,,
19270307,-0.003554,-0.003554,-0.003846,-0.003846,17471213.50,,
19270308,0.001780,0.001646,0.000090,-0.000061,17499963.90,,
19270309,0.005730,0.005646,0.005177,0.004971,17598768.10,,
19270310,0.005052,0.005052,0.004078,0.004078,17687683.50,,
19270311,0.002229,0.002082,0.003647,0.003352,17724508.50,,
19270312,-0.000675,-0.000675,0.000099,0.000099,17562442.00,,
19270314,0.002368,0.002077,-0.000401,-0.000885,17750609.20,,
19270315,-0.007267,-0.007671,-0.008652,-0.009091,17614439.80,,
19270316,0.008579,0.008516,0.006208,0.006139,17764449.80,,
19270317,0.004690,0.004215,0.003321,0.002877,17839327.00,,
19270318,-0.007122,-0.007150,-0.007578,-0.007796,17711767.90,,
